laplace_correction,estimation_mode,bandwidth_selection,bandwidth,minimum_bandwidth,number_of_kernels,use_application_grid,application_grid_size,PREC_AT_99_REC
false,greedy,heuristic,0.001,100,1,true,100,0.6168
true,greedy,heuristic,0.001,500,1,true,100,0.4174
false,greedy,heuristic,0.001,500,1,true,100,0.6083
true,greedy,heuristic,0.001,1000,1,true,100,0.5174
false,greedy,heuristic,0.001,1000,1,true,100,0.6264
true,greedy,heuristic,0.001,0.1,2,true,100,0.52
false,greedy,heuristic,0.001,0.1,2,true,100,0.5213
true,greedy,heuristic,0.001,0.001,2,true,100,0.619
false,greedy,heuristic,0.001,0.001,2,true,100,0.5195
true,greedy,heuristic,0.001,1,2,true,100,0.4213
false,greedy,heuristic,0.001,1,2,true,100,0.2172
true,greedy,heuristic,0.001,5,2,true,100,0.0962
false,greedy,heuristic,0.001,5,2,true,100,0.1092
true,greedy,heuristic,0.001,10,2,true,100,0.2231
false,greedy,heuristic,0.001,10,2,true,100,0.2424
true,greedy,heuristic,0.001,20,2,true,100,0.027
false,greedy,heuristic,0.001,20,2,true,100,0.0743
true,greedy,heuristic,0.001,50,2,true,100,0.106
false,greedy,heuristic,0.001,50,2,true,100,0.0951
true,greedy,heuristic,0.001,100,2,true,100,0.6972
false,greedy,heuristic,0.001,100,2,true,100,0.6974
true,greedy,heuristic,0.001,500,2,true,100,0.8972
false,greedy,heuristic,0.001,500,2,true,100,0.6979
true,greedy,heuristic,0.001,1000,2,true,100,0.3991
false,greedy,heuristic,0.001,1000,2,true,100,0.6988
true,greedy,heuristic,0.001,0.1,5,true,100,0.505
false,greedy,heuristic,0.001,0.1,5,true,100,0.4968
true,greedy,heuristic,0.001,0.001,5,true,100,0.3283
false,greedy,heuristic,0.001,0.001,5,true,100,0.4233
true,greedy,heuristic,0.001,1,5,true,100,0.0656
false,greedy,heuristic,0.001,1,5,true,100,0.0509
true,greedy,heuristic,0.001,5,5,true,100,0.0646
false,greedy,heuristic,0.001,5,5,true,100,0.0715
true,greedy,heuristic,0.001,10,5,true,100,0.297
false,greedy,heuristic,0.001,10,5,true,100,0.2888
true,greedy,heuristic,0.001,20,5,true,100,0.0733
false,greedy,heuristic,0.001,20,5,true,100,0.0736
true,greedy,heuristic,0.001,50,5,true,100,0.0253
false,greedy,heuristic,0.001,50,5,true,100,0.0402
true,greedy,heuristic,0.001,100,5,true,100,0.0633
false,greedy,heuristic,0.001,100,5,true,100,0.0311
true,greedy,heuristic,0.001,500,5,true,100,0.099
false,greedy,heuristic,0.001,500,5,true,100,0.1011
true,greedy,heuristic,0.001,1000,5,true,100,0.1741
false,greedy,heuristic,0.001,1000,5,true,100,0.1738
true,greedy,heuristic,0.001,0.1,10,true,100,0.4594
false,greedy,heuristic,0.001,0.1,10,true,100,0.4643
false,greedy,heuristic,0.001,0.001,10,true,100,0.524
true,greedy,heuristic,0.001,1,10,true,100,0.0435
false,greedy,heuristic,0.001,1,10,true,100,0.0488
true,greedy,heuristic,0.001,5,10,true,100,0.0649
false,greedy,heuristic,0.001,5,10,true,100,0.0495
true,greedy,heuristic,0.001,10,10,true,100,0.0446
false,greedy,heuristic,0.001,10,10,true,100,0.0427
true,greedy,heuristic,0.001,20,10,true,100,0.022
false,greedy,heuristic,0.001,20,10,true,100,0.0155
true,greedy,heuristic,0.001,50,10,true,100,0.0304
false,greedy,heuristic,0.001,50,10,true,100,0.0302
true,greedy,heuristic,0.001,100,10,true,100,0.0161
false,greedy,heuristic,0.001,100,10,true,100,0.0049
true,greedy,heuristic,0.001,500,10,true,100,0.004
false,greedy,heuristic,0.001,500,10,true,100,0.1197
true,greedy,heuristic,0.001,1000,10,true,100,0.1345
false,greedy,heuristic,0.001,1000,10,true,100,0.1037
true,greedy,heuristic,0.001,0.1,50,true,100,0.5427
false,greedy,heuristic,0.001,0.1,50,true,100,0.6213
true,greedy,heuristic,0.001,0.001,50,true,100,0.2564
false,greedy,heuristic,0.001,0.001,50,true,100,0.0389
true,greedy,heuristic,0.001,1,50,true,100,0.0621
false,greedy,heuristic,0.001,1,50,true,100,0.0602
true,greedy,heuristic,0.001,5,50,true,100,0.0383
false,greedy,heuristic,0.001,5,50,true,100,0.061
true,greedy,heuristic,0.001,10,50,true,100,0.0416
false,greedy,heuristic,0.001,10,50,true,100,0.0514
true,greedy,heuristic,0.001,20,50,true,100,0.0244
false,greedy,heuristic,0.001,20,50,true,100,0.0232
true,greedy,heuristic,0.001,50,50,true,100,0.0384
false,greedy,heuristic,0.001,50,50,true,100,0.046
true,greedy,heuristic,0.001,100,50,true,100,0.133
false,greedy,heuristic,0.001,100,50,true,100,0.0925
true,greedy,heuristic,0.001,500,50,true,100,0.1222
false,greedy,heuristic,0.001,500,50,true,100,0.1506
true,greedy,heuristic,0.001,1000,50,true,100,0.1349
false,greedy,heuristic,0.001,1000,50,true,100,0.2158
true,greedy,heuristic,0.001,0.1,100,true,100,0.6986
false,greedy,heuristic,0.001,0.1,100,true,100,0.7014
true,greedy,heuristic,0.001,0.001,100,true,100,0.0947
false,greedy,heuristic,0.001,0.001,100,true,100,0.0601
true,greedy,heuristic,0.001,1,100,true,100,0.0792
false,greedy,heuristic,0.001,1,100,true,100,0.088
true,greedy,heuristic,0.001,5,100,true,100,0.064
false,greedy,heuristic,0.001,5,100,true,100,0.0647
true,greedy,heuristic,0.001,10,100,true,100,0.0517
false,greedy,heuristic,0.001,10,100,true,100,0.0285
true,greedy,heuristic,0.001,20,100,true,100,0.031
false,greedy,heuristic,0.001,20,100,true,100,0.0257
true,greedy,heuristic,0.001,50,100,true,100,0.0422
false,greedy,heuristic,0.001,50,100,true,100,0.0484
true,greedy,heuristic,0.001,100,100,true,100,0.139
false,greedy,heuristic,0.001,100,100,true,100,0.0984
true,greedy,heuristic,0.001,500,100,true,100,0.1124
false,greedy,heuristic,0.001,500,100,true,100,0.1832
true,greedy,heuristic,0.001,1000,100,true,100,0.2839
false,greedy,heuristic,0.001,1000,100,true,100,0.2698
true,greedy,heuristic,0.001,0.1,500,true,100,0.7739
false,greedy,heuristic,0.001,0.1,500,true,100,0.7739
true,greedy,heuristic,0.001,0.001,500,true,100,0.5015
true,greedy,heuristic,0.001,1,500,true,100,0.0883
false,greedy,heuristic,0.001,1,500,true,100,0.1017
true,greedy,heuristic,0.001,5,500,true,100,0.0772
false,greedy,heuristic,0.001,5,500,true,100,0.0772
true,greedy,heuristic,0.001,10,500,true,100,0.0548
false,greedy,heuristic,0.001,10,500,true,100,0.0433
true,greedy,heuristic,0.001,20,500,true,100,0.0323
false,greedy,heuristic,0.001,20,500,true,100,0.0319
true,greedy,heuristic,0.001,50,500,true,100,0.0568
false,greedy,heuristic,0.001,50,500,true,100,0.0568
true,greedy,heuristic,0.001,100,500,true,100,0.141
false,greedy,heuristic,0.001,100,500,true,100,0.141
true,greedy,heuristic,0.001,500,500,true,100,0.1857
false,greedy,heuristic,0.001,500,500,true,100,0.1857
true,greedy,heuristic,0.001,1000,500,true,100,0.288
false,greedy,heuristic,0.001,1000,500,true,100,0.288
true,greedy,heuristic,0.001,0.1,1000,true,100,0.781
